編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLPKIIPFFDA38CC,1,40.95,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,73.18,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,41.51,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,27.02,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,15.33,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,27.10,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPTOMLPKIIPFFDA38CC,1,15.37,見其他登記事項,見其他登記事項,108年11月7日,十層,
RPPNMLQKIIPFFDA97CC,13,37.03,住家用,鋼筋混凝土造,97年2月25日,五層,
RPPNMLQKIIPFFDA97CC,13,7.95,共有部分,鋼筋混凝土造,97年2月25日,五層,
RPPNMLQKIIPFFDA97CC,13,9.42,共有部分,鋼筋混凝土造,97年2月25日,五層,
RPXNMLQKIIPFFDA78CC,15,104.32,住家用,見其他登記事項,95年1月26日,十三層,
RPOOMLQKIIPFFDA97CC,15,68.33,住家用,見其他登記事項,95年1月26日,十三層,
RPRPMLOKIIPFFAA87CC,,29.62,住商用,鋼筋混凝土造,,五層,
RPRPMLQKIIPFFCA28CC,,96.24,,加強磚造,,四層,
RPQNMLRKIIPFFDA18CC,43,127.93,商業用,鋼筋混凝土造,67年4月3日,五層,
RPVNMLQKIIPFFFA78CC,8,176.74,住家用,鋼骨鋼筋混凝土造,101年6月13日,十四層,
RPVNMLQKIIPFFFA78CC,8,82.82,見其他登記事項,鋼骨鋼筋混凝土造,101年6月13日,十四層,
RPVNMLQKIIPFFFA78CC,8,104.10,見其他登記事項,鋼骨鋼筋混凝土造,101年6月13日,十四層,
